Ticks;offsetTime;GPSLong;GPSLat;GPSDate;GPSTime;GPSheightMSL;GPShDOP;GPSpDOP;GPSsAcc;GPSnumGPS;GPSnumGLNAS;GPSnumSV;GPS-Koord
206770502;4.196;8.9378914;55.7546173;20181122;100545;42.427;0,045138889;01:17;10:09;11;7;18;8.9378914,55.7546173
207000425;4.247;8.9378914;55.7546178;20181122;100545;42.509;0,045138889;01:17;0,474305556;11;7;18;8.9378914,55.7546178
207253115;4.303;8.9378914;55.7546178;20181122;100545;42.509;0,045138889;01:17;0,474305556;11;7;18;8.9378914,55.7546178
207450424;4.347;8.9378914;55.7546178;20181122;100545;42.509;0,045138889;01:17;0,474305556;11;7;18;8.9378914,55.7546178
207619687;4.385;8.9378914;55.7546178;20181122;100545;42.509;0,045138889;01:17;0,474305556;11;7;18;8.9378914,55.7546178
207820837;4.429;8.9378916;55.7546181;20181122;100545;42:56:00;0,045138889;01:17;0,470833333;11;7;18;8.9378916,55.7546181
208153053;4.503;8.9378916;55.7546181;20181122;100545;42:56:00;0,045138889;01:17;0,470833333;11;7;18;8.9378916,55.7546181
208378084;4.553;8.9378916;55.7546181;20181122;100545;42:56:00;0,045138889;01:17;0,470833333;11;7;18;8.9378916,55.7546181
208530978;4.587;8.9378916;55.7546181;20181122;100545;42:56:00;0,045138889;01:17;0,470833333;11;7;18;8.9378916,55.7546181
208828118;4.653;8.9378909;55.7546182;20181122;100546;42.529;0,045138889;01:17;0,467361111;11;7;18;8.9378909,55.7546182
208980292;4.687;8.9378909;55.7546182;20181122;100546;42.529;0,045138889;01:17;0,467361111;11;7;18;8.9378909,55.7546182
209278123;4.753;8.9378909;55.7546182;20181122;100546;42.529;0,045138889;01:17;0,467361111;11;7;18;8.9378909,55.7546182
209470520;4.796;8.9378909;55.7546182;20181122;100546;42.529;0,045138889;01:17;0,467361111;11;7;18;8.9378909,55.7546182
209719279;4.851;8.9378909;55.7546184;20181122;100546;42.538;0,045138889;01:17;0,463194444;11;7;18;8.9378909,55.7546184
209953097;4.903;8.9378909;55.7546184;20181122;100546;42.538;0,045138889;01:17;0,463194444;11;7;18;8.9378909,55.7546184
210178111;4.953;8.9378909;55.7546184;20181122;100546;42.538;0,045138889;01:17;0,463194444;11;7;18;8.9378909,55.7546184
210341329;4.989;8.9378909;55.7546184;20181122;100546;42.538;0,045138889;01:17;0,463194444;11;7;18;8.9378909,55.7546184
210628066;5.053;8.9378915;55.7546186;20181122;100546;42.554;0,042361111;01:13;10:06;12;7;19;8.9378915,55.7546186
210790824;5.089;8.9378915;55.7546186;20181122;100546;42.554;0,042361111;01:13;10:06;12;7;19;8.9378915,55.7546186
211078092;5.153;8.9378915;55.7546186;20181122;100546;42.554;0,042361111;01:13;10:06;12;7;19;8.9378915,55.7546186
211249346;5.191;8.9378915;55.7546186;20181122;100546;42.554;0,042361111;01:13;10:06;12;7;19;8.9378915,55.7546186
211478796;5.242;8.9378919;55.7546188;20181122;100546;42.532;0,042361111;01:13;10:53;12;7;19;8.9378919,55.7546188
211680022;5.287;8.9378919;55.7546188;20181122;100546;42.532;0,042361111;01:13;10:53;12;7;19;8.9378919,55.7546188
211978051;5.353;8.9378919;55.7546188;20181122;100546;42.532;0,042361111;01:13;10:53;12;7;19;8.9378919,55.7546188
